"Период","1","2-3","4-7"
"2021-01-01","115","27","3",""
"2021-01-02","103","20","6",""
"2021-01-03","12","1","1",""
"2021-01-04","12","6","1",""
"2021-01-05","7","3","0",""
"2021-01-06","7","1","0",""
"2021-01-07","3","2","0",""
"2021-01-08","3","1","1",""
"2021-01-09","6","0","1",""
"2021-01-10","3","0","1",""
"2021-01-11","8","2","5",""
"2021-01-12","4","3","1",""
"2021-01-13","11","1","2",""
"2021-01-14","22","8","5",""
"2021-01-15","54","21","4",""
"2021-01-16","177","51","17",""
"2021-01-17","220","35","12",""
"2021-01-18","30","7","2",""
"2021-01-19","17","2","2",""
"2021-01-20","9","3","1",""
"2021-01-21","7","2","3",""
"2021-01-22","13","4","3",""
"2021-01-23","7","2","0",""
"2021-01-24","10","2","1",""
"2021-01-25","7","5","1",""
"2021-01-26","4","1","1",""
"2021-01-27","7","1","4",""
"2021-01-28","6","4","1",""
"2021-01-29","7","2","2",""
"2021-01-30","62","20","1",""
"2021-01-31","137","24","12",""
"2021-02-01","42","9","5",""
"2021-02-02","67","31","12",""
"2021-02-03","30","17","1",""
"2021-02-04","36","9","2",""
"2021-02-05","4","1","2",""
"2021-02-06","5","0","0",""
"2021-02-07","5","2","2",""
"2021-02-08","3","1","1",""
"2021-02-09","5","3","3",""
"2021-02-10","6","2","1",""
"2021-02-11","4","4","0",""
"2021-02-12","2","1","0",""
"2021-02-13","4","1","1",""
"2021-02-14","7","1","0",""
"2021-02-15","5","5","2",""
"2021-02-16","5","2","0",""
"2021-02-17","3","1","0",""
"2021-02-18","2","2","2",""
"2021-02-19","1","3","1",""
"2021-02-20","3","1","0",""
"2021-02-21","1","3","0",""
"2021-02-22","2","2","3",""
"2021-02-23","2","2","2",""
"2021-02-24","1","2","0",""
"2021-02-25","2","2","3",""
"2021-02-26","7","0","3",""
"2021-02-27","1","0","0",""
"2021-02-28","1","2","0",""
"2021-03-01","2","4","2",""
"2021-03-02","5","4","1",""
"2021-03-03","4","1","3",""
"2021-03-04","6","3","1",""
"2021-03-05","17","3","2",""
"2021-03-06","17","3","6",""
"2021-03-07","51","3","3",""
"2021-03-08","68","10","4",""
"2021-03-09","55","19","8",""
"2021-03-10","58","19","9",""
"2021-03-11","12","6","1",""
"2021-03-12","5","2","1",""
"2021-03-13","4","0","2",""
"2021-03-14","4","2","1",""
"2021-03-15","19","7","1",""
"2021-03-16","56","18","5",""
"2021-03-17","42","17","5",""
"2021-03-18","41","9","2",""
"2021-03-19","72","25","6",""
"2021-03-20","55","12","8",""
"2021-03-21","116","17","11",""
"2021-03-22","112","20","7",""
"2021-03-23","117","21","7",""
"2021-03-24","107","15","10",""
"2021-03-25","112","10","3",""
"2021-03-26","78","7","2",""
"2021-03-27","18","1","0",""
"2021-03-28","5","2","0",""
"2021-03-29","4","0","2",""
"2021-03-30","5","2","0",""
"2021-03-31","5","2","1",""
"2021-04-01","9","1","0",""
"2021-04-02","7","4","1",""
"2021-04-03","2","0","0",""
"2021-04-04","3","1","0",""
"2021-04-05","5","0","1",""
"2021-04-06","47","15","3",""
"2021-04-07","60","8","3",""
"2021-04-08","58","8","3",""
"2021-04-09","65","6","2",""
"2021-04-10","55","4","1",""
"2021-04-11","60","2","0",""
"2021-04-12","69","5","1",""
"2021-04-13","70","7","1",""
"2021-04-14","64","2","1",""
"2021-04-15","83","6","1",""
"2021-04-16","36","4","1",""
"2021-04-17","6","0","1",""
"2021-04-18","9","3","0",""
"2021-04-19","4","3","1",""
"2021-04-20","9","4","0",""
"2021-04-21","9","1","1",""
"2021-04-22","4","3","2",""
"2021-04-23","4","3","1",""
"2021-04-24","4","2","0",""
"2021-04-25","3","0","0",""
"2021-04-26","2","0","1",""
"2021-04-27","5","2","1",""
"2021-04-28","7","3","1",""
"2021-04-29","3","0","1",""
"2021-04-30","4","1","1",""
"2021-05-01","1","3","0",""
"2021-05-02","2","0","1",""
"2021-05-03","7","3","2",""
"2021-05-04","4","1","0",""
"2021-05-05","2","1","0",""
"2021-05-06","2","4","0",""
"2021-05-07","2","2","2",""
"2021-05-08","2","2","2",""
"2021-05-09","1","0","0",""
"2021-05-10","2","0","0",""
"2021-05-11","1","1","0",""
"2021-05-12","2","0","1",""
