"Период","Итого и средние"
"2020-05-01","0"
"2020-05-02","0"
"2020-05-03","2"
"2020-05-04","12"
"2020-05-05","10"
"2020-05-06","4"
"2020-05-07","8"
"2020-05-08","9"
"2020-05-09","3"
"2020-05-10","4"
"2020-05-11","14"
"2020-05-12","9"
"2020-05-13","11"
"2020-05-14","12"
"2020-05-15","10"
"2020-05-16","4"
"2020-05-17","4"
"2020-05-18","11"
"2020-05-19","10"
"2020-05-20","17"
"2020-05-21","9"
"2020-05-22","7"
"2020-05-23","3"
"2020-05-24","4"
"2020-05-25","8"
"2020-05-26","5"
"2020-05-27","8"
"2020-05-28","5"
"2020-05-29","5"
"2020-05-30","6"
"2020-05-31","3"
"2020-06-01","19"
"2020-06-02","6"
"2020-06-03","9"
"2020-06-04","8"
"2020-06-05","3"
"2020-06-06","2"
"2020-06-07","2"
"2020-06-08","6"
"2020-06-09","9"
"2020-06-10","3"
"2020-06-11","7"
"2020-06-12","7"
"2020-06-13","2"
"2020-06-14","2"
"2020-06-15","8"
"2020-06-16","5"
"2020-06-17","5"
"2020-06-18","6"
"2020-06-19","10"
"2020-06-20","7"
"2020-06-21","10"
"2020-06-22","22"
"2020-06-23","10"
"2020-06-24","6"
"2020-06-25","5"
"2020-06-26","3"
"2020-06-27","2"
"2020-06-28","7"
"2020-06-29","8"
"2020-06-30","8"
"2020-07-01","5"
"2020-07-02","3"
"2020-07-03","7"
"2020-07-04","1"
"2020-07-05","4"
"2020-07-06","10"
"2020-07-07","13"
"2020-07-08","7"
"2020-07-09","12"
"2020-07-10","10"
"2020-07-11","4"
"2020-07-12","11"
"2020-07-13","18"
"2020-07-14","7"
"2020-07-15","7"
"2020-07-16","8"
"2020-07-17","10"
"2020-07-18","1"
"2020-07-19","2"
"2020-07-20","9"
"2020-07-21","4"
"2020-07-22","7"
"2020-07-23","10"
"2020-07-24","11"
"2020-07-25","6"
"2020-07-26","2"
"2020-07-27","9"
"2020-07-28","6"
"2020-07-29","12"
"2020-07-30","6"
"2020-07-31","7"
"2020-08-01","3"
"2020-08-02","3"
"2020-08-03","6"
"2020-08-04","6"
"2020-08-05","9"
"2020-08-06","8"
"2020-08-07","14"
"2020-08-08","4"
"2020-08-09","2"
"2020-08-10","1"
"2020-08-11","1"
"2020-08-12","4"
"2020-08-13","5"
"2020-08-14","2"
"2020-08-15","3"
"2020-08-16","1"
"2020-08-17","5"
"2020-08-18","11"
"2020-08-19","8"
"2020-08-20","11"
"2020-08-21","10"
"2020-08-22","4"
"2020-08-23","3"
"2020-08-24","14"
"2020-08-25","17"
"2020-08-26","10"
"2020-08-27","11"
"2020-08-28","9"
"2020-08-29","5"
"2020-08-30","3"
"2020-08-31","7"
"2020-09-01","6"
"2020-09-02","7"
"2020-09-03","9"
"2020-09-04","6"
"2020-09-05","2"
"2020-09-06","4"
"2020-09-07","13"
"2020-09-08","12"
"2020-09-09","13"
"2020-09-10","13"
"2020-09-11","7"
"2020-09-12","5"
"2020-09-13","4"
"2020-09-14","14"
"2020-09-15","11"
"2020-09-16","9"
"2020-09-17","10"
"2020-09-18","9"
"2020-09-19","6"
"2020-09-20","3"
"2020-09-21","9"
"2020-09-22","9"
"2020-09-23","10"
"2020-09-24","15"
"2020-09-25","7"
"2020-09-26","6"
"2020-09-27","7"
"2020-09-28","5"
"2020-09-29","9"
"2020-09-30","12"
"2020-10-01","7"
"2020-10-02","6"
"2020-10-03","5"
"2020-10-04","4"
"2020-10-05","16"
"2020-10-06","15"
"2020-10-07","13"
"2020-10-08","10"
"2020-10-09","8"
"2020-10-10","9"
"2020-10-11","5"
"2020-10-12","9"
"2020-10-13","6"
"2020-10-14","4"
"2020-10-15","7"
"2020-10-16","3"
"2020-10-17","4"
"2020-10-18","4"
"2020-10-19","8"
"2020-10-20","5"
"2020-10-21","10"
"2020-10-22","11"
"2020-10-23","8"
"2020-10-24","1"
"2020-10-25","3"
"2020-10-26","2"
"2020-10-27","4"
"2020-10-28","8"
"2020-10-29","3"
"2020-10-30","6"
"2020-10-31","6"
"2020-11-01","5"
"2020-11-02","7"
"2020-11-03","10"
"2020-11-04","6"
"2020-11-05","9"
"2020-11-06","9"
"2020-11-07","5"
"2020-11-08","3"
"2020-11-09","6"
"2020-11-10","6"
"2020-11-11","9"
"2020-11-12","9"
"2020-11-13","3"
"2020-11-14","3"
"2020-11-15","10"
"2020-11-16","9"
"2020-11-17","6"
"2020-11-18","8"
"2020-11-19","5"
"2020-11-20","7"
"2020-11-21","4"
"2020-11-22","5"
"2020-11-23","4"
"2020-11-24","9"
"2020-11-25","3"
"2020-11-26","5"
"2020-11-27","6"
"2020-11-28","3"
"2020-11-29","3"
"2020-11-30","4"
"2020-12-01","8"
"2020-12-02","8"
"2020-12-03","6"
"2020-12-04","4"
"2020-12-05","6"
"2020-12-06","2"
"2020-12-07","11"
"2020-12-08","8"
"2020-12-09","7"
"2020-12-10","5"
"2020-12-11","3"
"2020-12-12","1"
"2020-12-13","3"
"2020-12-14","53"
"2020-12-15","21"
"2020-12-16","42"
"2020-12-17","36"
"2020-12-18","43"
"2020-12-19","36"
"2020-12-20","44"
"2020-12-21","52"
"2020-12-22","42"
"2020-12-23","53"
"2020-12-24","52"
"2020-12-25","64"
"2020-12-26","57"
"2020-12-27","81"
"2020-12-28","82"
"2020-12-29","49"
"2020-12-30","40"
"2020-12-31","42"
"2021-01-01","132"
"2021-01-02","114"
"2021-01-03","14"
"2021-01-04","16"
"2021-01-05","9"
"2021-01-06","6"
"2021-01-07","4"
"2021-01-08","5"
"2021-01-09","6"
"2021-01-10","4"
"2021-01-11","13"
"2021-01-12","10"
"2021-01-13","10"
"2021-01-14","37"
"2021-01-15","72"
"2021-01-16","229"
"2021-01-17","237"
"2021-01-18","29"
"2021-01-19","16"
"2021-01-20","9"
"2021-01-21","10"
"2021-01-22","16"
"2021-01-23","7"
"2021-01-24","11"
"2021-01-25","11"
"2021-01-26","5"
"2021-01-27","12"
"2021-01-28","14"
"2021-01-29","9"
"2021-01-30","84"
"2021-01-31","159"
"2021-02-01","48"
"2021-02-02","103"
"2021-02-03","46"
"2021-02-04","47"
"2021-02-05","6"
"2021-02-06","4"
"2021-02-07","9"
"2021-02-08","4"
"2021-02-09","11"
"2021-02-10","9"
"2021-02-11","8"
"2021-02-12","4"
"2021-02-13","5"
"2021-02-14","5"
"2021-02-15","9"
"2021-02-16","8"
"2021-02-17","4"
"2021-02-18","5"
"2021-02-19","4"
"2021-02-20","3"
"2021-02-21","4"
"2021-02-22","5"
"2021-02-23","5"
"2021-02-24","3"
"2021-02-25","6"
"2021-02-26","8"
"2021-02-27","1"
"2021-02-28","3"
"2021-03-01","8"
"2021-03-02","7"
"2021-03-03","7"
"2021-03-04","10"
"2021-03-05","20"
"2021-03-06","23"
"2021-03-07","55"
"2021-03-08","77"
"2021-03-09","74"
"2021-03-10","73"
"2021-03-11","18"
"2021-03-12","8"
"2021-03-13","6"
"2021-03-14","7"
"2021-03-15","25"
"2021-03-16","74"
"2021-03-17","56"
"2021-03-18","46"
"2021-03-19","86"
"2021-03-20","74"
"2021-03-21","135"
"2021-03-22","132"
"2021-03-23","125"
"2021-03-24","117"
"2021-03-25","112"
"2021-03-26","84"
"2021-03-27","16"
"2021-03-28","7"
"2021-03-29","5"
"2021-03-30","6"
"2021-03-31","8"
"2021-04-01","10"
"2021-04-02","12"
"2021-04-03","3"
"2021-04-04","4"
"2021-04-05","6"
"2021-04-06","62"
"2021-04-07","63"
"2021-04-08","64"
"2021-04-09","60"
"2021-04-10","56"
"2021-04-11","55"
"2021-04-12","72"
"2021-04-13","70"
"2021-04-14","61"
"2021-04-15","83"
"2021-04-16","41"
"2021-04-17","7"
"2021-04-18","9"
"2021-04-19","10"
"2021-04-20","11"
"2021-04-21","11"
"2021-04-22","9"
"2021-04-23","6"
"2021-04-24","6"
"2021-04-25","3"
"2021-04-26","3"
"2021-04-27","7"
"2021-04-28","11"
"2021-04-29","5"
"2021-04-30","5"
"2021-05-01","5"
"2021-05-02","3"
"2021-05-03","9"
"2021-05-04","5"
"2021-05-05","5"
"2021-05-06","6"
"2021-05-07","7"
"2021-05-08","6"
"2021-05-09","2"
"2021-05-10","2"
"2021-05-11","2"
"2021-05-12","3"
"2021-05-13","8"
"2021-05-14","9"
"2021-05-15","5"
"2021-05-16","8"
"2021-05-17","6"
"2021-05-18","5"
"2021-05-19","5"
"2021-05-20","9"
"2021-05-21","4"
"2021-05-22","5"
"2021-05-23","5"
"2021-05-24","5"
"2021-05-25","5"
"2021-05-26","8"
"2021-05-27","8"
"2021-05-28","10"
"2021-05-29","3"
"2021-05-30","1"
"2021-05-31","2"
"2021-06-01","8"
"2021-06-02","7"
"2021-06-03","3"
"2021-06-04","7"
"2021-06-05","11"
"2021-06-06","5"
"2021-06-07","8"
"2021-06-08","8"
"2021-06-09","8"
"2021-06-10","7"
"2021-06-11","4"
"2021-06-12","7"
"2021-06-13","2"
"2021-06-14","6"
"2021-06-15","4"
"2021-06-16","9"
"2021-06-17","15"
"2021-06-18","22"
"2021-06-19","9"
"2021-06-20","8"
"2021-06-21","22"
"2021-06-22","24"
"2021-06-23","21"
"2021-06-24","17"
"2021-06-25","14"
"2021-06-26","12"
"2021-06-27","11"
"2021-06-28","28"
"2021-06-29","17"
"2021-06-30","19"
"2021-07-01","22"
"2021-07-02","21"
"2021-07-03","10"
"2021-07-04","14"
"2021-07-05","22"
"2021-07-06","204"
"2021-07-07","72"
"2021-07-08","38"
"2021-07-09","46"
"2021-07-10","19"
