"Период","Итого и средние"
"2020-05-01 - 2020-05-03","2"
"2020-05-04 - 2020-05-10","39"
"2020-05-11 - 2020-05-17","52"
"2020-05-18 - 2020-05-24","48"
"2020-05-25 - 2020-05-31","33"
"2020-06-01 - 2020-06-07","41"
"2020-06-08 - 2020-06-14","33"
"2020-06-15 - 2020-06-21","45"
"2020-06-22 - 2020-06-28","53"
"2020-06-29 - 2020-07-05","33"
"2020-07-06 - 2020-07-12","56"
"2020-07-13 - 2020-07-19","45"
"2020-07-20 - 2020-07-26","44"
"2020-07-27 - 2020-08-02","42"
"2020-08-03 - 2020-08-09","40"
"2020-08-10 - 2020-08-16","13"
"2020-08-17 - 2020-08-23","34"
"2020-08-24 - 2020-08-30","45"
"2020-08-31 - 2020-09-06","33"
"2020-09-07 - 2020-09-13","57"
"2020-09-14 - 2020-09-20","43"
"2020-09-21 - 2020-09-27","44"
"2020-09-28 - 2020-10-04","33"
"2020-10-05 - 2020-10-11","55"
"2020-10-12 - 2020-10-18","28"
"2020-10-19 - 2020-10-25","30"
"2020-10-26 - 2020-11-01","22"
"2020-11-02 - 2020-11-08","33"
"2020-11-09 - 2020-11-15","37"
"2020-11-16 - 2020-11-22","38"
"2020-11-23 - 2020-11-29","27"
"2020-11-30 - 2020-12-06","32"
"2020-12-07 - 2020-12-13","32"
"2020-12-14 - 2020-12-20","250"
"2020-12-21 - 2020-12-27","376"
"2020-12-28 - 2021-01-03","431"
"2021-01-04 - 2021-01-10","41"
"2021-01-11 - 2021-01-17","570"
"2021-01-18 - 2021-01-24","76"
"2021-01-25 - 2021-01-31","274"
"2021-02-01 - 2021-02-07","235"
"2021-02-08 - 2021-02-14","34"
"2021-02-15 - 2021-02-21","33"
"2021-02-22 - 2021-02-28","21"
"2021-03-01 - 2021-03-07","115"
"2021-03-08 - 2021-03-14","233"
"2021-03-15 - 2021-03-21","457"
"2021-03-22 - 2021-03-28","557"
"2021-03-29 - 2021-04-04","39"
"2021-04-05 - 2021-04-11","338"
"2021-04-12 - 2021-04-18","319"
"2021-04-19 - 2021-04-25","42"
"2021-04-26 - 2021-05-02","34"
"2021-05-03 - 2021-05-09","33"
"2021-05-10 - 2021-05-16","32"
"2021-05-17 - 2021-05-23","30"
"2021-05-24 - 2021-05-30","29"
"2021-05-31 - 2021-06-06","29"
"2021-06-07 - 2021-06-13","31"
"2021-06-14 - 2021-06-20","64"
"2021-06-21 - 2021-06-27","110"
"2021-06-28 - 2021-07-04","121"
"2021-07-05 - 2021-07-11","349"
"2021-07-12 - 2021-07-18","191"
"2021-07-19 - 2021-07-25","194"
"2021-07-26 - 2021-08-01","164"
"2021-08-02 - 2021-08-08","170"
"2021-08-09 - 2021-08-15","105"
"2021-08-16 - 2021-08-22","50"
"2021-08-23 - 2021-08-29","58"
"2021-08-30 - 2021-09-05","72"
"2021-09-06 - 2021-09-12","71"
"2021-09-13 - 2021-09-19","181"
"2021-09-20 - 2021-09-26","170"
